"","datatype","strain","sex","trait","signal","mean"
"1","calcium","129","F","8G:freq_8_2",-0.27705533253201,0.16683724281447
"2","calcium","129","M","8G:freq_8_2",-0.437535984874776,0.0525893152308105
"3","calcium","AJ","F","8G:freq_8_2",-0.183407218238335,0.260485357108145
"4","calcium","AJ","M","8G:freq_8_2",-0.131974686042385,0.358150614063202
"5","calcium","B6","F","8G:freq_8_2",-0.148539759975865,0.295352815370614
"6","calcium","B6","M","8G:freq_8_2",-0.307809594416288,0.182315705689299
"7","calcium","CAST","F","8G:freq_8_2",0.888377971493866,1.33227054684035
"8","calcium","CAST","M","8G:freq_8_2",0.644568093019086,1.13469339312467
"9","calcium","NOD","F","8G:freq_8_2",-0.423247937411019,0.0206446379354613
"10","calcium","NOD","M","8G:freq_8_2",-0.395130868733499,0.0949944313720875
"11","calcium","NZO","F","8G:freq_8_2",-0.294604682210131,0.149287893136349
"12","calcium","NZO","M","8G:freq_8_2",-0.127635373897433,0.362489926208153
"13","calcium","PWK","F","8G:freq_8_2",0.507154326288203,0.951046901634683
"14","calcium","PWK","M","8G:freq_8_2",0.439899091263581,0.930024391369168
"15","calcium","WSB","F","8G:freq_8_2",0.147075315507481,0.590967890853961
"16","calcium","WSB","M","8G:freq_8_2",0.170677700520205,0.660803000625792
