source,target,assign
ContrastPanel,ContrastPlot,module
ContrastPanel,ContrastTable_contr,module
ContrastPanel,ContrastTable_time,module
ContrastPanel,ContrastTime,module
ContrastPanel,TimePlot_contr,module
ContrastTable_contr,TraitOrder_contr,output
ContrastTable_contr,contrastOutput,output
ContrastTable_time,contrastTimeOutput,output
ContrastTime,TimeTraits_contr,module
ContrastTime,timeOutput,output

CorTable,CorPlot,module
CorTable,TraitNames_rel,module
CorTable,abscor,input
CorTable,corTableOutput,output
CorTable,corterm,input
TimePanel,TimePlot_time,module
TimePanel,TimeTable,module
TimeTable,TraitOrder_time,module
TimeTable,TimeTraits_time,module
TraitNames_key,CorTable,module
TraitNames_key,TraitTable,module
TraitNames_key,keyTraitOutput,output
TraitNames_rel,TraitTable,module
TraitNames_rel,relTraitsOutput,output
TraitNames_rel,trait,input
TraitOrder,keydataset,input
TraitOrder,orderOutput,output
TraitPairs,pairsOutput,output
TraitPanel,CorPlot,module
TraitPanel,CorTable,module
TraitPanel,TraitOrder_trait,module
TraitPanel,TraitNames_key,module
TraitPanel,TraitNames_rel,module
TraitPanel,TraitPairs,module
TraitPanel,TraitSolos,module
TraitPanel,TraitTable,module
TraitPanel,plot_choice,input
TraitPanel,plots,input
TraitPanel,returnTraitPanel,output
TraitPanel,mincor,input
TraitPanel,reldataset,input
TraitSolos,solosOutput,output
TraitTable,butresp,input
TraitTable,tableOutput,output

contrastOutput,ContrastPlot,arg
contrastTimeOutput,ContrastTime,arg
corTableOutput,CorPlot,arg
corTableOutput,TraitNames_rel,arg
facet,TraitPanel,input
height,TraitPanel,input
keyTraitOutput,CorTable,arg
keyTraitOutput,TraitTable,arg
keydataset,orderOutput,input
mincor,CorPlot,input
mincor,CorTable,input
order,orderOutput,input
orderOutput,TraitNames_key,arg
relTraitsOutput,TraitTable,arg
server,ContrastPanel,server
server,foundrIntro,server
server,TimePanel,server
server,TraitPanel,server
server,Volcano,server
TraitNames_key,trait,input
TraitOrder,keydataset,input
TraitOrder,order,input
strains,TraitPanel,input
strains,TraitTable,input
timeOutput,TimePlot,arg
traitData,TraitPanel,arg
traitData,TraitTable,arg
traitSignal,ContrastTable,arg
traitSignal,ContrastTime,arg
traitSignal,CorTable,arg
traitSignal,TimePlot,arg
traitSignal,TraitOrder,arg
traitSignal,TraitPanel,arg
traitSignal,TraitTable,arg
traitStats,ContrastTable,arg
traitStats,ContrastTime,arg
traitStats,TraitNames_key,arg
traitStats,TraitNames_rel,arg
traitStats,TraitOrder,arg
traitStats,TraitPanel,arg
