origin,node,type
contrastOutput,ContrastPlot,arg
contrastOutput,contrastOutput,arg
contrastTimeOutput,ContrastTime,arg
contrastTimeOutput,contrastTimeOutput,arg
corTableOutput,CorPlot,arg
corTableOutput,TraitNames_rel,arg
corTableOutput,corTableOutput,arg
keyTraitOutput,CorTable,arg
keyTraitOutput,TraitTable,arg
keyTraitOutput,keyTraitOutput,arg
orderOutput,TraitNames_key,arg
orderOutput,orderOutput,arg
relTraitsOutput,TraitTable,arg
relTraitsOutput,relTraitsOutput,arg
timeOutput,TimePlot,arg
timeOutput,timeOutput,arg
traitData,TraitPanel,arg
traitData,TraitTable,arg
traitData,traitData,arg
traitSignal,ContrastTable,arg
traitSignal,ContrastTime,arg
traitSignal,CorTable,arg
traitSignal,TimePlot,arg
traitSignal,TraitOrder,arg
traitSignal,TraitPanel,arg
traitSignal,TraitTable,arg
traitSignal,traitSignal,arg
traitStats,ContrastTable,arg
traitStats,ContrastTime,arg
traitStats,TraitNames_key,arg
traitStats,TraitNames_rel,arg
traitStats,TraitOrder,arg
traitStats,TraitPanel,arg
traitStats,traitStats,arg
CorTable,CorTable,input
CorTable,abscor,input
CorTable,corterm,input
TraitNames_rel,TraitNames_rel,input
TraitNames_rel,trait,input
TraitOrder,TraitOrder,input
TraitOrder,keydataset,input
TraitPanel,TraitPanel,input
TraitPanel,mincor,input
TraitPanel,plot_choice,input
TraitPanel,plots,input
TraitPanel,reldataset,input
TraitTable,TraitTable,input
TraitTable,butresp,input
facet,TraitPanel,input
facet,facet,input
height,TraitPanel,input
height,height,input
keydataset,keydataset,input
keydataset,orderOutput,input
mincor,CorPlot,input
mincor,CorTable,input
mincor,mincor,input
order,order,input
order,orderOutput,input
shinyTraitNames_key,shinyTraitNames_key,input
shinyTraitNames_key,trait,input
shinyTraitOrder,keydataset,input
shinyTraitOrder,order,input
shinyTraitOrder,shinyTraitOrder,input
strains,TraitPanel,input
strains,TraitTable,input
strains,strains,input
ContrastPanel,ContrastPanel,module
ContrastPanel,ContrastPlot,module
ContrastPanel,ContrastTable,module
ContrastPanel,ContrastTable_time,module
ContrastPanel,ContrastTime,module
ContrastPanel,TimePlot,module
CorTable,CorPlot,module
CorTable,CorTable,module
CorTable,TraitNames_rel,module
TraitNames_key,CorTable,module
TraitNames_key,TraitNames_key,module
TraitNames_key,TraitTable,module
TraitNames_rel,TraitNames_rel,module
TraitNames_rel,TraitTable,module
TraitPanel,CorPlot,module
TraitPanel,CorTable,module
TraitPanel,TraitNames_key,module
TraitPanel,TraitNames_rel,module
TraitPanel,TraitOrder,module
TraitPanel,TraitPairs,module
TraitPanel,TraitPanel,module
TraitPanel,TraitSolos,module
TraitPanel,TraitTable,module
TraitTable,TraitPairs,module
TraitTable,TraitSolos,module
TraitTable,TraitTable,module
ContrastTable,ContrastTable,output
ContrastTable,contrastOutput,output
ContrastTable_time,ContrastTable_time,output
ContrastTable_time,contrastTimeOutput,output
ContrastTime,ContrastTime,output
ContrastTime,timeOutput,output
CorTable,CorTable,output
CorTable,corTableOutput,output
TraitNames_key,TraitNames_key,output
TraitNames_key,keyTraitOutput,output
TraitNames_rel,TraitNames_rel,output
TraitNames_rel,relTraitsOutput,output
TraitOrder,TraitOrder,output
TraitOrder,orderOutput,output
TraitPairs,TraitPairs,output
TraitPairs,pairsOutput,output
TraitPanel,TraitPanel,output
TraitPanel,returnTraitPanel,output
TraitSolos,TraitSolos,output
TraitSolos,solosOutput,output
TraitTable,TraitTable,output
TraitTable,tableOutput,output
server,ContrastPanel,server
server,TimePanel,server
server,TraitPanel,server
server,Volcano,server
server,foundrIntro,server
server,server,server
